namePVS,nameSRC,codec,rate,mos,vmaf,vmaf_bagging,vmaf_stddev,vmaf_ci_p95_lo,vmaf_ci_p95_hi
Railway_H264at512K,Railway,H264,512000,2.831,58.063,57.437,2.147,54.349,61.449
LiquidAssetsdiver02_MPEG2at7M,LiquidAssetsdiver02,MPEG2,7000000,4.507,94.001,93.129,3.810,83.876,98.274
BoysTalk_H265at1M,BoysTalk,H265,1000000,4.324,90.314,89.438,2.792,84.802,93.996
rosepath_H264at512K,rosepath,H264,512000,2.521,41.224,40.946,2.430,37.188,45.786
cropduster_H264at1M,cropduster,H264,1000000,3.690,77.366,76.661,1.822,73.624,79.744
FrontEndPart_H264at2M,FrontEndPart,H264,2000000,4.563,92.065,91.162,2.810,86.121,95.694
BurnCloseup_H265at1M,BurnCloseup,H265,1000000,3.972,58.850,58.950,1.056,57.324,60.814
FlamencoVideo04_MPEG2at2M,FlamencoVideo04,MPEG2,2000000,1.324,36.708,36.336,2.399,32.622,41.189
NightLights_H264at512K,NightLights,H264,512000,2.859,68.459,67.886,1.937,64.815,71.390
TheFootMusicVideo10_H264at512K,TheFootMusicVideo10,H264,512000,1.437,24.193,24.045,3.044,19.590,29.894
PowerDig_H265at512K,PowerDig,H265,512000,3.761,68.031,67.338,1.789,64.820,70.550
Flatirons_MPEG2at2M,Flatirons,MPEG2,2000000,1.204,16.885,16.140,4.359,9.783,25.477
FlamencoVideo01_H264at512K,FlamencoVideo01,H264,512000,1.873,37.237,37.174,2.072,33.914,41.154
newstennis_H264at2M,newstennis,H264,2000000,4.296,84.659,83.835,2.362,80.007,87.739
TheFootMusicVideo07_MPEG2at2M,TheFootMusicVideo07,MPEG2,2000000,1.845,40.350,39.891,1.843,36.802,43.280
LiquidAssetsdiver08_H264at2M,LiquidAssetsdiver08,H264,2000000,4.310,76.824,76.059,1.901,72.839,79.273
mallfountains_H264at1M,mallfountains,H264,1000000,3.944,71.086,70.490,2.126,67.399,74.179
